Game,Rating,Reviewscore,Me - Review,Percentile,Launch Platform(s),Played on,Launch Year,Play Year,Year(s) revisited/ continued/ earlier dabbled,Hours Played,Completion,Playthroughs,DLC/ Major update played,Publisher,Developer,Franchise,Perspective,Main Category,Extra Descriptors,First Rating,Remaster Reviewscore,Remaster Release Year,Developer2
Call of Duty Black Ops 4,76,85,-9,46%,PS4,PS4,2018,2018,2019,59,Finished,1,No,Activision-Blizzard,Treyarch,Call of Duty,First person,Shooter,Multiplayer,,,,
Star Wars: Knights of the Old Republic,76,94,-18,46%,"PC, Xbox",PC,2003,2018,,3,Tried,0,No,LucasArts,BioWare,Star Wars,Third person,RPG,Story-driven,,,,
Gato Roboto,75,74,1,43%,"PC, Switch",PC,2019,2024,,3,Finished,1,No,Devolver Digital,doinksoft,Gato Roboto,2D,Metroidvania,,,,,
Jak II,75,87,-12,43%,PS2,PS5,2003,2024,,13,Finished,1,No,Sony,Naughty Dog,Jak and Daxter,Third person,Action-platformer,Open-world,,81,2012,
F-Zero 99,75,80,-5,43%,Switch,Switch,2023,2023,2024,4,Finished,,No,Nintendo,Nintendo,F-Zero,Vehicle,Racing,"Arcade, multiplayer",,,,
Warhammer 40K: Darktide,75,74,1,43%,PC,PC,2022,2023,,6,Dropped,,Yes,Indie,Fatshark,Warhammer,First person,Action,"Shooter, looter",,,,
Trials Rising,75,80,-5,43%,"PC, PS4, XB1, Switch",PS5,2019,2022,,9,Dropped,0,Yes,Ubisoft,RedLynx,Trials,2D,Racing,"Arcade, platforming, party",,,,
Immortals Fenyx Rising,75,79,-4,43%,"PS4,PS5,Switch,XB1,XBS,PC",PS5,2020,2021,,26,Finished,1,No,Ubisoft,Ubisoft Quebec,Immortals,Third person,Action-adventure,"Open-world, puzzles",,,,
Sackboy: A Big Adventure,75,81,-6,43%,"PS4, PS5",PS5,2020,2021,,7,Finished,1,No,Sony,Sumo Digital,LittleBigPlanet,Third person,Platformer,Collectathon,,,,
Pokemon Let's Go Pikachu,75,81,-6,43%,Switch,Switch,2018,2018,,20,Finished,1,No,Nintendo,Game Freak,Pokemon,Top down,JRPG,"Monster collecting, turn-based, remake",,,,
Hearts of Iron IV,75,83,-8,43%,PC,PC,2016,2017,"2018, 2019",74,Finished,,No,Paradox Interactive,Paradox,Paradox 4X,Overview,Strategy,,,,,
Call of Duty Black Ops III,75,81,-6,43%,PS4,PS4,2015,2015,,94,Finished,1,No,Activision-Blizzard,Treyarch,Call of Duty,First person,Shooter,Multiplayer,,,,
Guacamelee!,75,83,-8,43%,Vita,Vita,2013,2014,,3,Tried,0,No,Indie,DrinkBox,Guacamelee!,2D,Metroidvania,Platformer,,,,
Torchlight,75,83,-8,43%,PC,PC,2009,2012,,11,Dropped,0,No,Indie,Runic Games,Torchlight,Top down,Dungeon crawler,"Action-RPG, hack and slash, looter",,,,
Need for Speed Hot Pursuit,75,88,-13,43%,"X360, PS3",PS3,2010,2011,,8,Tried,0,No,EA,Criterion Games,Need for Speed,Vehicle,Racing,"Arcade, open-world",,,,
Wii Sports,75,76,-1,43%,Wii,Wii,2007,2008,,150,Extra,,No,Nintendo,Nintendo,Wii Sports,Overview,Sports,,,,,
Mario Strikers Charged Football,75,79,-4,43%,Wii,Wii,2007,2008,,20,Finished,,No,Nintendo,Next Level Games,Mario Sports,Top down,Sports,Football,,,,
Mario Kart Super Circuit,74,93,-19,40%,GBA,Switch,2001,2024,,2,Finished,,No,Nintendo,Nintendo,Mario Kart,Vehicle,Racing,Kart,,,,
Call of Duty Black Ops Cold War,74,75,-1,40%,"PS4, XB1, PC",PS5,2020,2023,,8,Finished,1,No,Activision-Blizzard,Treyarch,Call of Duty,First person,Shooter,Multiplayer,,,,
Pokemon Violet,74,72,2,40%,Switch,Switch,2022,2022,,33,Extra,1,No,Nintendo,Game Freak,Pokemon,Third person,JRPG,"Monster collecting, open-world, turn-based",,,,
Risk of Rain 2,74,86,-12,40%,"PS4, XB1, PC",PS5,2019,2022,,6,Finished,,Yes,Gearbox Publishing,Hopoo Games,Risk of Rain,Third person,Roguelike,"Shooter, multiplayer (co-op)",,,,
Castlevania Symphony of the Night,74,93,-19,40%,PS,XBS,1997,2022,,3,Tried,0,No,Konami,Konami,Castlevania,2D,Metroidvania,Platformer,,,,
Northgard,74,79,-5,40%,PC,PC,2018,2021,,15,Finished,1,No,Indie,Shiro Games,Northgard,Top down,Strategy,,,,,
Wreckfest,74,80,-6,40%,PC,PS5,2018,2021,,12,Finished,,No,THQ Nordic,Bugbear Entertainment,Wreckfest,Vehicle,Racing,Simcade,,,,
Dungeon of the Endless,74,79,-5,40%,PC,PC,2014,2021,,14,Finished,,No,Indie,Amplitude Studios,Dungeon of the Endless,Top down,Roguelike,"Strategy, tower-defense",,,,
WRC 9,74,80,-6,40%,"PS4,XB1,PS5,PC",PS5,2020,2020,,20,One-hundred,,No,Nacon,Kylotonn,WRC,Vehicle,Racing,"Sim, simulation, sports",,,,
Crash Bandicoot 4: Its About Time,74,85,-11,40%,"PS4, XB1",PS4,2020,2020,,11,Finished,1,No,Activision-Blizzard,Toys for Bob,Crash Bandicoot,Third person,Platformer,,,,,
Dreams,74,90,-16,40%,PS4,PS4,2020,2020,2023,14,Finished,,No,Sony,Media Molecule,Dreams,Third person,Platformer,"User-creation, sandbox",,,,
Warframe,74,71,3,40%,PC,PC,2013,2018,,61,Dropped,0,Yes,Indie,Digital Extremes,Warframe,Third person,Looter-shooter,"Action-RPG, looter",60,,,
Prison Architect,74,80,-6,40%,"PC, PS4, XB1",PC,2015,2015,2019,24,Finished,,Yes,Indie,Introversion Software,Prison Architect,Top down,Simulation,Management,,,,
Borderlands The Pre-Sequel,74,75,-1,40%,PS4,PS4,2014,2014,,30,Finished,1,No,2K Games,Gearbox,Borderlands,First person,Looter-shooter,"Action-rpg, multiplayer (co-op), open-world, looter",,,,
Destiny,74,76,-2,40%,"PS3, X360, PS4, XB1",PS4,2014,2014,,168,Finished,1,No,Activision-Blizzard,Bungie,Destiny,First person,Looter-shooter,"Multiplayer, open-world, looter",,,,
Lego Stunt Rally,74,72,2,40%,PC,PC,2000,2005,,20,Extra,1,No,Lego Media,Intelligent Games,Lego Racing,Top down,Racing,Arcade,,,,
Sifu,73,81,-8,38%,"PS4, PS5, PC",PS5,2022,2024,,4,Finished,1,Yes,Indie,Sloclap,Sifu,Third person,Action,Roguelike,,,,
Ghostwire Tokyo,73,77,-4,38%,"PS5, PC",PS5,2022,2023,,10,Finished,1,Yes,Bethesda,Tango Gameworks,Ghostwire,First person,Action-adventure,"Open-world, horror, stealth",,,,
Wildermyth,73,85,-12,38%,PC,PC,2021,2022,,6,Dropped,,No,Indie,Worldwalker Games,Wildermyth,Overview,RPG,"Strategy, sandbox, story-driven, interactive-story",,,,
Far Cry 5,73,82,-9,38%,"PS4, XB1, PC",XBS,2018,2022,,17,Finished,1,No,Ubisoft,Ubisoft Montreal,Far Cry,First person,Shooter,"Open-world, stealth, story-driven",,,,
Parkitect,73,83,-10,38%,PC,PC,2018,2022,,34,Finished,,Yes,Indie,Texel Raptor,Parkitect,Overview,Simulation,Management,,,,
Bugsnax,73,75,-2,38%,"PS4, PS5, PC",PS5,2020,2020,,7,Finished,1,No,Indie,Young Horses,Bugsnax,First person,Action-adventure,"Exploration, story-driven, social, monster collecting",,,,
Dirt Rally 2.0,73,83,-10,38%,"PS4, XB1, PC",PS4,2019,2020,,14,Dropped,,No,Codemasters,Codemasters,Dirt,Vehicle,Racing,"Sim, sports",,,,
The Legend of Zelda: Link's Awakening,73,87,-14,38%,Switch,Switch,2019,2019,,10,Finished,1,No,Nintendo,Nintendo,The Legend of Zelda,Top down,Adventure,Puzzles,,,,
Spec Ops The Line,73,76,-3,38%,PC,PC,2012,2017,,5,Finished,1,No,2K Games,Yager Development,Spec Ops,First person,Cover-shooter,"Linear, story-driven",,,,
WipeOut HD,73,87,-14,38%,PS3,PS4,2007,2017,,3,Dropped,,No,Sony,Studio Liverpool,WipeOut,Vehicle,Racing,Arcade,,85,2017,
Crash Bandicoot,73,80,-7,38%,PS1,PS4,1996,2017,,8,Finished,1,No,Sony,Naughty Dog,Crash Bandicoot,Third person,Platformer,,,80,2017,Toys for Bob
Football Manager 2015,73,80,-7,38%,PC,PC,2014,2014,2015,98,Extra,,No,SEGA,Sports Interactive,Football Manager,Overview,Simulation,"Sports (football), management",,,,
2010 FIFA World Cup South Africa,73,82,-9,38%,"X360, PS3, PSP",PSP,2010,2010,,20,Finished,,No,EA,EA sports,Fifa,Top down,Sports,"Football, management",,,,
Rollercoaster Tycoon,73,78,-5,38%,PC,PC,1999,2004,,5,Dropped,,No,Infogrames (Atari),Chris Sawyer,Rollercoaster Tycoon,Top down,Simulation,Management,,,,
Against The Storm,72,92,-20,35%,PC,PC,2023,2024,,9,Dropped,0,No,Hooded Horse,Eremite Games,Against The Storm,Top down,Strategy,"Simulation (city-building), roguelike",,,,
Supraland Six Inches Under,72,85,-13,35%,"PC, XB1, PS4, XBS, PS5, NSW",XBS,2022,2024,,6,Finished,1,No,Indie,Supra Games,Supraland,First person,Metroidvania,Puzzles,,,,
Assassin's Creed Mirage,72,77,-5,35%,"PC, PS4, PS5, XB1, XBS",XBS,2023,2023,,25,Extra,1,No,Ubisoft,Ubisoft Bordeaux,Assassin's Creed,Third person,Stealth,"Open-world, platforming",,,,
Cult of the Lamb,72,84,-12,35%,"PS4, PS5, XB1, XBS, PC, Switch",PS5,2022,2023,,10,Finished,1,No,Devolver Digital,Massive Monster,Cult of the Lamb,Top down,Roguelike,"Hack and slash, management",,,,
High on Life,72,69,3,35%,"XB1, XBS, PC",XBS,2022,2022,,8,Finished,1,No,Indie,Squanch Games,High on Life,First person,Shooter,Story-driven,,,,
Crypt of the Necrodancer,72,87,-15,35%,PC,PC,2015,2022,,1,Tried,0,No,Indie,Brace Yourself Games,Necrodancer,Top down,Roguelike,Rythm,,,,
Hot Wheels Unleashed,72,74,-2,35%,"Switch, PS4, PS5, XBS, XB1",Switch,2021,2021,,17,Finished,1,No,Indie,Milestone,Hot Wheels,Vehicle,Racing,Arcade,,,,
Ultimate Chicken Horse,72,79,-7,35%,"PC, PS4, XB1, Switch",PC,2016,2021,,2,Tried,,No,Indie,Clever Endeavour Games,Ultimate Chicken Horse,2D,Party,"Platformer, multiplayer",,,,
Halo 3 ODST,72,83,-11,35%,X360,PC,2009,2021,,7,Finished,1,No,Microsoft,Bungie,Halo,First person,Shooter,Linear,,,,
Hyrule Warriors Age of Calamity,72,80,-8,35%,Switch,Switch,2020,2020, ,21,Finished,1,No,Nintendo,Omega Force,The Legend of Zelda,Third person,Action,"Hack and slash, musou, story-driven",,,,
Darksiders Genesis,72,79,-7,35%,"PC, PS4, XB1, Switch",PC,2019,2020,,12,Finished,1,No,THQ Nordic,Airship Syndicate,Darksiders,Top down,Dungeon crawler,"Hack and slash, action-RPG",,,,
Stellaris,72,81,-9,35%,PC,PC,2016,2020,,8,Tried,,Yes,Paradox Interactive,Paradox,Paradox 4X,Overview,Strategy,,,,,
Uncharted Golden Abyss,72,80,-8,35%,Vita,Vita,2011,2014,,7,Finished,1,No,Sony,Bend Studio,Uncharted,Third person,Cover-shooter,"Story-driven, action, linear, puzzles, platforming",,,,
Wii Fit,72,80,-8,35%,Wii,Wii,2008,2009,"2010, 2011",50,Finished,,No,Nintendo,Nintendo,Wii Fit,Overview,Fitness,,,,,
Nintendogs,72,83,-11,35%,DS,DS,2005,2007,,25,Finished,,No,Nintendo,Nintendo,Nintendogs,Overview,Simulation,Social,,,,
The Simpsons Hit & Run,72,78,-6,35%,PS2,PS2,2003,2005,,15,Dropped,0,No,Vivendi,Radical Entertainment,The Simpsons,Third person,Action-adventure,"Open-world, sandbox",,,,
Dragon's Dogma 2,71,87,-16,32%,"PC, PS5, XBS",PS5,2024,2024,,23,Finished,1,No,Capcom,Capcom,Dragon's Dogma,Third Person,RPG,"Open-world, action",,,,
Cities Skylines 2,71,75,-4,32%,PC,PC,2023,2023,,8,Finished,,No,Paradox Interactive,Colossal Order,Cities Skylines,Overview,Simulation,City-building,71,,,
Jusant,71,83,-12,32%,"XBS, PS5, PC",XBS,2023,2023,,4,Finished,1,No,Indie,Don't Nod,Jusant,Third person,Adventure,"Platformer, linear",,,,
Supraland,71,77,-6,32%,PC,PC,2019,2023,,10,Finished,1,No,Indie,Supra Games,Supraland,First person,Metroidvania,"Puzzles, platforming",,,,
Batman Arkham City,71,94,-23,32%,"PS3, X360",PS5,2011,2023,,9,Finished,1,No,Warner Bros,Rocksteady,Batman,Third person,Action-adventure,"Open-world, superhero, story-driven",,76,2016,
Grid Legends,71,75,-4,32%,"PS4, PS5, XB1, XBS, PC",XBS,2022,2022,,17,Extra,,No,EA,Codemasters,Grid,Vehicle,Racing,Arcade,70,,,
Buck Up and Drive!,71,70,1,32%,PC,PC,2021,2022,,1,Finished,,No,Indie,Fabio Fontez,Buck up and Drive!,Vehicle,Racing,Arcade,,,,
Tribes of Midgard,71,75,-4,32%,"PS5, PS4, PC",PS5,2021,2022,,10,Dropped,,Yes,Gearbox Publishing,Norsfell,Tribes of Midgard,Top down,Action-RPG,"Survival, roguelike, multiplayer (co-op)",,,,
Spelunky 2,71,86,-15,32%,"PC, PS4, PS5",PC,2020,2022,,1,Tried,0,No,Indie,Mossmouth,Spelunky,2D,Roguelike,Platformer,,,,
Hyper Light Drifter,71,84,-13,32%,"PC, XB1, PS4",PC,2016,2022,,3,Dropped,0,No,Indie,Heart Machine,Hyper Light,Top down,Adventure,Action-RPG,,,,
Battlefield 1,71,87,-16,32%,"PS4,XB1,PC",PS5,2016,2021,,10,Finished,1,No,EA,DICE,Battlefield,First person,Shooter,"Linear, multiplayer",,,,
Cat Quest II,71,76,-5,32%,Switch,Switch,2019,2019,,4,Finished,1,No,Indie,The Gentlebros,Cat Quest,Top down,Action-RPG,"Hack and slash, open-world, looter",,,,
Dust: An Elysian Tail,71,83,-12,32%,X360,PS4,2012,2014,,2,Tried,0,No,Microsoft,Humble Hearts,Dust,2D,Metroidvania,"Metroidvania, RPG",,,,
New Super Mario Bros. Wii,71,87,-16,32%,Wii,Wii,2009,2009,,6,Dropped,0,No,Nintendo,Nintendo,Super Mario (2D),2D,Platformer,,,,,
Hot Wheels Unleashed 2: Turbocharged,70,77,-7,29%,"Switch, PS4, PS5, XBS, XB1, PC",XBS,2023,2024,,7,Finished,1,No,Indie,Milestone,Hot Wheels,Vehicle,Racing,Arcade,,,,
Tiny Tina's Wonderlands,70,78,-8,29%,"PS4, XB1, PS5, XBS, PC",PS5,2022,2024,,,,,No,2K Games,Gearbox,Borderlands,First person,Looter-shooter,Action-RPG,,,,
Wild Hearts,70,79,-9,29%,"PC, XB1, XBS, PS4, PS5",XBS,2023,2023,,2,Tried,0,No,EA,Koei Tecmo Games,Wild Hearts,Third person,Action-RPG,Monster hunting,,,,
Counter-Strike 2,70,80,-10,29%,PC,PC,2023,2023,,4,Dropped,,No,Valve,Valve,Counter-Strike,First person,Shooter,Multiplayer,,,,
Warpips,70,79,-9,29%,PC,PC,2022,2022,,9,Finished,,No,Indie,Skirmish Mode Games,Warpips,Overview,Strategy,,,,,
Star Wars Squadrons,70,79,-9,29%,"PS4, XB1, PC",PS4,2020,2020,,15,Finished,1,No,EA,Motive Studios,Star Wars,First person,Action,Simulation,,,,
Abzu,70,80,-10,29%,"PC, PS4",PC,2016,2020,,1,Finished,1,No,505 Games,Giant Squid Studios,Abzu,First person,Adventure,Linear,,,,
Fifa 19,70,81,-11,29%,PS4,PS4,2018,2019,,42,Finished,,No,EA,EA sports,Fifa,Top down,Sports,"Football, management",,,,
Assassin's Creed Rogue,70,72,-2,29%,"PS3, X360",PS4,2014,2019,,12,Finished,1,No,Ubisoft,Ubisoft Sofia,Assassin's Creed,Third person,Stealth,"Open-world, platforming",,71,2018,
Cat Quest,70,72,-2,29%,Switch,Switch,2017,2017,,3,Finished,1,No,Indie,The Gentlebros,Cat Quest,Top down,Action-RPG,"Hack and slash, open-world, looter",,,,
The Crew,70,61,9,29%,PS4,PS4,2014,2016,,26,Finished,1,No,Ubisoft,Ivory Tower,The Crew,Vehicle,Racing,"Arcade, open-world",,,,
The Witcher 3,70,92,-22,29%,"PS4,XB1,PC",PS4,2015,2015,,16,Dropped,0,No,CD Projekt,CD Projekt Red,The Witcher,Third person,RPG,"Open-world, story-driven, action",,,,
Infamous First Light,70,73,-3,29%,PS4,PS4,2014,2014,,8,One-hundred,1,No,Sony,Sucker Punch,inFAMOUS,Third person,Action-adventure,"Open-world, sandbox, superhero, story-driven",,,,
Velocity 2X,70,85,-15,29%,"PS4, XB1, PC",PS4,2014,2014,,6,Dropped,0,No,Indie,FuturLab,Velocity 2X,2D,Shooter,Bullet-hell,,,,
Don't Starve,70,79,-9,29%,PC,PS4,2013,2014,,6,Dropped,,No,Indie,Klei Entertainment,Don't Starve,Top down,Survival,Horror,,,,
Grand Theft Auto IV,70,98,-28,29%,PS3,X360,2008,2013,,15,Dropped,0,No,Rockstar,Rockstar,Grand Theft Auto,Third person,Action-adventure,"Open-world, sandbox, cover-shooter",,,,
Skyrim,70,94,-24,29%,"X360, PS3",PS3,2011,2012,,10,Dropped,0,No,Bethesda,Bethesda Softworks,Skyrim,First person,RPG,Open-world,,,,
Pokemon Mystery Dunegon Explorers of Time,70,60,10,29%,DS,DS,2008,2009,,30,Finished,1,No,Nintendo,Spike Chunsoft,Pokemon,Top down,JRPG,"Strategy, turn-based",,,,
Brain Training,70,77,-7,29%,DS,DS,2006,2008,,30,Finished,,No,Nintendo,Nintendo,Brain Training,Overview,Puzzle,Educational,,,,
Lego 2K Drive,69,72,-3,26%,"PS4, PS5, XB1, XBS, PC, Switch",PS5,2023,2024,,6,Finished,1,No,2K Games,Visual Concepts Entertainment,Lego Racing,Vehicle,Racing,"Kart, open-world",,,,
Forspoken,69,67,2,26%,"PC, PS5",PS5,2023,2023,,19,Finished,1,No,Square Enix,Luminous Productions,Forspoken,Third person,Action-adventure,Open-world,,,,
Trek to Yomi,69,72,-3,26%,"XB1, XBS, PS4, PS5, PC",XBS,2022,2022,,4,Finished,1,No,Devolver Digital,Flying Wild Hog,Trek to Yomi,2D,Action,"Linear, adventure",,,,
TemTem,69,76,-7,26%,"Switch, PC, PS4, PS5, XB1, XBS",PC,2022,2022,,13,Dropped,0,No,Humble Games,Crema,TemTem,Top down,JRPG,"Monster collecting, open-world, turn-based",,,,
Windjammers 2,69,77,-8,26%,"Switch,PC,PS4,XB1,XBS,PS5",XBS,2022,2022,,2,Tried,,No,Indie,Dotemu,Windjammers,Top down,Sports,"Party, multiplayer",,,,
Bayonetta,69,90,-21,26%,"PS3, X360",Switch,2010,2022,,10,Finished,1,No,SEGA,Platinum Games,Bayonetta,Third person,Action,"Hack and slash, linear",,84,2018,
Age of Empires IV,69,83,-14,26%,PC,PC,2021,2021,,3,Tried,,No,Microsoft,Relic Entertainment,Age of Empires,Top down,Strategy,,,,,
Journey to the Savage Planet,69,76,-7,26%,"PS4, XB1, PC, Switch",PS4,2020,2020,,6,Finished,1,No,505 Games,Typhoon Studios,Journey to the Savage Planet,First person,Action-adventure,"Action, multiplayer (co-op)",,,,
Wargroove,69,83,-14,26%,"PC,Switch,PS4,XB1",Switch,2019,2019,2020,5,Dropped,0,No,Indie,Chucklefish,Wargroove,Top down,Strategy,Turn-based,,,,
Detroit Become Human,69,78,-9,26%,PS4,PS4,2018,2018,,6,Finished,1,No,Sony,Quantic Dream,Detroit Become Human,Third person,Interactive Story,"Story-driven, linear",,,,
Motorsport Manager,69,81,-12,26%,PC,PC,2016,2016,2020,44,Finished,,No,Indie,Playsport Games,Motorsport Manager,Overview,Simulation,Management,,,,
Watch Dogs 2,69,82,-13,26%,PS4,PS4,2016,2016,,24,Finished,1,No,Ubisoft,Ubisoft Montreal,Watch Dogs,Third person,Cover-shooter,"Open-world, stealth",,,,
Killzone Shadow Fall,69,73,-4,26%,PS4,PS4,2013,2013,,38,Finished,1,No,Sony,Guerrilla Games,Killzone,First person,Shooter,"Linear, multiplayer",,,,
20 Minutes Till Dawn,68,78,-10,24%,"PC, mobile",PC,2023,2023,,5,Finished,,No,Indie,Flanne,20 Minutes Till Dawn,Top down,Roguelike,Bullet-heaven,,,,
The Riftbreaker,68,80,-12,24%,"PC, PS4, XB1",PC,2021,2022,,5,Dropped,,No,Indie,EXOR Studios,The Riftbreaker,Top down,Strategy,"Base-building, bullet-hell",,,,
Golf Peaks,68,75,-7,24%,"PC, mobile",Mobile,2018,2022,,3,Finished,1,No,Indie,Afterburn,Golf Peaks,Overview,Puzzle,,,,,
Mini Motorways,68,80,-12,24%,PC,PC,2021,2021,,6,Finished,,No,Indie,Dinosaur Polo Club,Mini (transport),Overview,Strategy,Puzzle,,,,
Cyberpunk 2077,68,76,-8,24%,"PS4, XB1, PC",PS5,2020,2020,,35,Finished,1,No,CD Projekt,CD Projekt Red,Cyberpunk,First person,RPG,"Action, stealth, open-world, story-driven",,,,
Nex Machina,68,84,-16,24%,"PS4,PC",PS4,2017,2020,,4,Dropped,0,No,Indie,Housemarque,Nex Machina,Top down,Twin-stick shooter,"Bullet-hell, roguelike",,,,
GreedFall,68,75,-7,24%,"PS4,XB1,PC",PS4,2019,2019,,27,Finished,1,No,Focus Home Interactive,Spiders,GreedFall,Third person,RPG,Story-driven,,,,
Assassin's Creed Freedom Cry,68,70,-2,24%,PS4,PS4,2013,2017,,5,Finished,1,No,Ubisoft,Ubisoft Montreal,Assassin's Creed,Third person,Stealth,"Open-world, platforming",,,,
Crusader Kings 2,68,82,-14,24%,PC,PC,2012,2017,,5,Tried,,No,Paradox Interactive,Paradox,Paradox 4X,Overview,Strategy,,,,,
Transformers: Devastation,68,77,-9,24%,"PS3, PS4, X360, XB1, PC",PS4,2015,2016,,2,Tried,0,No,Activision-Blizzard,Platinum Games,Transformers,Third person,Action,"Hack and slash, linear",,,,
Star Wars Battlefront,68,73,-5,24%,PS4,PS4,2015,2015,,42,Finished,,No,EA,DICE,Star Wars,First person,Shooter,Multiplayer,,,,
Endless Legend,68,82,-14,24%,PC,PC,2014,2015,,8,Finished,,No,SEGA,Amplitude Studios,Endless Legend,Overview,Strategy,Turn-based,,,,
Sportsfriends,68,80,-12,24%,"PS4, PC",PS4,2014,2014,,4,Finished,,No,Indie,Die Gute Fabrik,Sportsfriends,2D,Party,,,,,
F1 2009,68,69,-1,24%,Wii,Wii,2009,2009,2010,30,Finished,,No,Codemasters,Codemasters,F1,Vehicle,Racing,"Simcade, sports, simulation",,,,
Transformers Autobots,68,67,1,24%,DS,DS,2007,2007,2023,30,Extra,1,No,Activision-Blizzard,Vicarious Visions,Transformers,Third person,Action-adventure,"Open-world, multiplayer",,,,
Immortals of Aveum,67,72,-5,22%,"PS5, XBS, PC",PS5,2023,2024,,14,Finished,1,No,EA,Ascendant Studios,Immortals of Aveum,First person,Shooter,Story-driven,,,,
Tunic,67,86,-19,22%,"PC, XB1, XBS",XBS,2022,2022,,7,Finished,1,No,Indie,Andrew Shouldice,Tunic,Top down,Adventure,"Puzzles, exploration",,,,
Clustertruck,67,76,-9,22%,PC,PC,2016,2022,2021,2,Dropped,0,No,Indie,Landfall Games,Clustertruck,First person,Platformer,"Action, puzzles",,,,
Mario Golf: Super Rush,67,71,-4,22%,Switch,Switch,2021,2021,,8,Finished,1,No,Nintendo,Camelot Software Planning,Mario Sports,Third person,Sports,Golf,,,,
Boyfriend Dungeon,67,73,-6,22%,"PC,Switch",PC,2021,2021,,4,Finished,1,No,Indie,Kitfox Games,Boyfriend Dungeon,Top down,Action-RPG,Social,,,,
Golf With Your Friends,67,69,-2,22%,"PC,PS4,XB1,Switch",PC,2020,2020,,6,Finished,,No,Team17,Blacklight Interactive,Golf With Your Friends,First person,Party,"Sports (golf), multiplayer",,,,
Kingdom New Lands,67,73,-6,22%,"PC, XB1, Switch",PC,2016,2020,,4,Finished,,No,Indie,Thomas van den Berg,Kingdom New Lands,2D,Strategy,"Tower-defense, management",,,,
Grid (2019),67,73,-6,22%,"PS4,XB1,PC",PS4,2019,2019,,34,Finished,,No,Codemasters,Codemasters,Grid,Vehicle,Racing,Simcade,,,,
Assassin's Creed Odyssey,67,85,-18,22%,PS4,PS4,2018,2018,,17,Dropped,0,No,Ubisoft,Ubisoft Quebec,Assassin's Creed,Third person,Action-RPG,"RPG, open-world, platforming",,,,
Dragon Quest XI,67,86,-19,22%,PS4,PC,2018,2018,,26,Dropped,0,No,Square Enix,Square Enix,Dragon Quest,Third person,JRPG,Turn-based,,,,
Apotheon,67,76,-9,22%,PS4,PS4,2015,2015,,30,One-hundred,1,No,Indie,Alientrap,Apotheon,2D,Platformer,Action,,,,
Skull and Bones,66,60,6,19%,"PS5, XBS, PC",PS5,2024,2024,,11,Dropped,,No,Ubisoft,Ubisoft Singapore,Skull and Bones,Third person,Action-adventure,"MMO, open-world",,,,
Paper Mario: The Thousand-Year Door (Remake),66,89,-23,19%,Switch,Switch,2024,2024,,26,Finished,1,No,Nintendo,Intelligent Systems,Mario RPG,Top down,JRPG,"Turn-based, remake",,,,
Need for Speed Unbound,66,75,-9,19%,"PS4, XB1, PS5, XBS, PC",XBS,2022,2023,,11,Dropped,0,No,EA,Criterion Games,Need for Speed,Vehicle,Racing,"Arcade, open-world",,,,
Curse of the Dead Gods,66,81,-15,19%,"PC, PS4, XB1, Switch",XBS,2021,2022,,2,Tried,,No,Focus Home Interactive,Passtech Games,Curse of the Dead Gods,Top down,Roguelike,Hack and slash,,,,
Fall Guys,66,80,-14,19%,"PC, PS4",PS4,2020,2020,,4,Tried,,No,Devolver Digital,Mediatonic,Fall Guys,Third person,Platformer,Multiplayer,,,,
Dicey Dungeons,66,82,-16,19%,PC,PC,2019,2020,,4,Tried,,No,Indie,Terry Cavanaugh,Dicey Dungeons,Overview,Roguelike,"Strategy, turn-based",,,,
The Jackbox Party Pack 6,66,74,-8,19%,"PC, Switch, PS4, XB1",PC,2019,2019,2020,6,Finished,,No,Indie,Jackbox Studio,Jackbox,Overview,Party,,,,,
Far Cry Primal,66,76,-10,19%,PS4,PS4,2016,2016,,22,Dropped,0,No,Ubisoft,Ubisoft Montreal,Far Cry,First person,Action-adventure,"Open-world, stealth",,,,
Factorio,66,70,-4,19%,PC,PC,2012,2016,2020,33,Dropped,,Yes,Indie,Wube Software,Factorio,Top down,Simulation,"Management, strategy, tower-defence",,,,
Game Dev Tycoon,66,68,-2,19%,PC,PC,2012,2012,2013,54,Extra,,No,Indie,Greenheart Games,Game Dev Tycoon,Overview,Simulation,Management,,,,
Invizimals,66,69,-3,19%,PSP,PSP,2010,2011,,10,Finished,1,No,Sony,Novarama,Invizimals,Overview,RPG,"AR, monster collecting, turn-based",,,,
Mafia: Definitive Edition,65,78,-13,18%,"PC, PS4, XB1",PS5,2020,2024,,8,Finished,1,No,2K Games,Hangar 13,Mafia,Third Person,Action-adventure,"Open-world, remake",,,,
Nioh,65,88,-23,18%,PS4,PS5,2017,2023,,1,Tried,0,No,Koei Tecmo,Team Ninja,Nioh,Third person,Soulslike,"Action-RPG, looter",,,,
Worms W.M.D,65,78,-13,18%,"PC, PS4, XB1",PC,2016,2022,,2,Tried,,No,Team17,Team17,Worms,2D,Strategy,"Multiplayer, party",,,,
Sea of Thieves,65,67,-2,18%,"XB1, PC",PC,2018,2020,,13,Dropped,,Yes,Microsoft,Rare,Sea of Thieves,First person,Action-adventure,"Open-world, sandbox, exploration",,,,
Grid Autosport,65,78,-13,18%,"PS3,X360",Switch,2014,2019,,20,Dropped,,No,Codemasters,Codemasters,Grid,Vehicle,Racing,Simcade,,,,
